name,description,latitude,longitude
"KFC-Alma,AR",,35.49067,-94.2262
"KFC-Arkadelphia,AR",,34.12048,-93.05669
"KFC-Atkins,AR",,35.25383,-92.93751
"KFC-Batesville,AR",,35.79097,-91.63802
"KFC-Beebe,AR",,35.06837,-91.90719
"KFC-Benton,AR",,34.56937,-92.58526
"KFC-Bentonville,AR",,36.38167,-94.2216
"KFC-Blytheville,AR",,35.93502,-89.91014
"KFC-Booneville,AR",,35.14045,-93.91298
"KFC-Brinkley,AR",,34.89849,-91.19439
"KFC-Bryant,AR",,34.62252,-92.49836
"KFC-Cabot,AR",,34.97601,-92.02505
"KFC-Camden,AR",,33.5739,-92.85414
"KFC-Clarksville,AR",,35.4525,-93.4654
"KFC-Clinton,AR",,35.57609,-92.45182
"KFC-Conway,AR",,35.11197,-92.44878
"KFC-Crossett,AR",,33.13548,-91.95954
"KFC-De Queen,AR",,34.04565,-94.3278
"KFC-El Dorado,AR",,33.20756,-92.66825
"KFC-Fayetteville,AR",,36.05661,-94.18707
"KFC-Fayetteville,AR",,36.10616,-94.14623
"KFC-Forrest City,AR",,35.04383,-90.79196
"KFC-Fort Smith,AR",,35.33663,-94.4225
"KFC-Fort Smith,AR",,35.38573,-94.38531
"KFC-Fort Smith,AR",,35.35152,-94.34774
"KFC-Greenwood,AR",,35.21654,-94.26933
"KFC-Hardy,AR",,36.28889,-91.50688
"KFC-Heber Springs,AR",,35.51062,-92.02938
"KFC-Hope,AR",,33.68323,-93.59447
"KFC-Hot Springs ,AR",,34.4555,-93.06387
"KFC-Hot Springs Village,AR",,34.65617,-93.05739
"KFC-Hot Springs,AR",,34.49203,-93.08577
"KFC-Hot Springs,AR",,34.50316,-93.04926
"KFC-Jacksonville,AR",,34.88242,-92.10873
"KFC-Jonesboro,AR",,35.82365,-90.74117
"KFC-Jonesboro,AR",,35.82048,-90.70635
"KFC-Jonesboro,AR",,35.82035,-90.67771
"KFC-Little Rock,AR",,34.75428,-92.40407
"KFC-Little Rock,AR",,34.75795,-92.37698
"KFC-Little Rock,AR",,34.71805,-92.34756
"KFC-Little Rock,AR",,34.67522,-92.34414
"KFC-Little Rock,AR",,34.75175,-92.32208
"KFC-Little Rock,AR",,34.74042,-92.31477
"KFC-Little Rock,AR",,34.72452,-92.27898
"KFC-Lonoke,AR",,34.79799,-91.89127
"KFC-Lowell,AR",,36.24132,-94.13705
"KFC-Magnolia,AR",,33.2859,-93.23531
"KFC-Malvern,AR",,34.37106,-92.82075
"KFC-Marianna,AR",,34.77964,-90.77351
"KFC-Marion,AR",,35.20944,-90.20611
"KFC-Maumelle,AR",,34.88355,-92.38663
"KFC-Mena,AR",,34.58606,-94.22649
"KFC-Monticello,AR",,33.63062,-91.80225
"KFC-Morrilton,AR",,35.16988,-92.71968
"KFC-Mountain Home,AR",,36.39184,-92.35606
"KFC-Mountain View,AR",,35.86531,-92.108
"KFC-Nashville,AR",,33.94103,-93.84698
"KFC-Newport,AR",,35.60546,-91.25623
"KFC-North Little Rock,AR",,34.79488,-92.27119
"KFC-North Little Rock,AR",,34.75607,-92.2615
"KFC-North Little Rock,AR",,34.7772,-92.20215
"KFC-Osceola,AR",,35.69747,-89.98515
"KFC-Ozark,AR",,35.51424,-93.82376
"KFC-Paragould,AR",,36.02503,-90.69968
"KFC-Paris,AR",,35.29206,-93.71638
"KFC-Pine Bluff,AR",,34.23303,-92.04351
"KFC-Pine Bluff,AR",,34.20192,-92.03042
"KFC-Pine Bluff,AR",,34.2075,-91.9702
"KFC-Pocahontas,AR",,36.2553,-90.97414
"KFC-Rogers,AR",,36.32765,-94.12576
"KFC-Rogers,AR",,36.33493,-94.17967
"KFC-Russellville,AR",,35.28491,-93.13332
"KFC-Searcy,AR",,35.25067,-91.70732
"KFC-Sherwood,AR",,34.8303,-92.18308
"KFC-Siloam Springs,AR",,36.17503,-94.55235
"KFC-Springdale,AR",,36.17606,-94.19085
"KFC-Springdale,AR",,36.18001,-94.13903
"KFC-Stuttgart,AR",,34.4795,-91.553
"KFC-Texarkana,AR",,33.46068,-94.04305
"KFC-Trumann,AR",,35.67883,-90.52412
"KFC-Van Buren,AR",,35.46023,-94.3569
"KFC-Walnut Ridge,AR",,36.07244,-90.95583
"KFC-Warren,AR",,33.61192,-92.06446
"KFC-West Helena,AR",,34.55294,-90.65096
"KFC-West Memphis,AR",,35.15059,-90.18491
"KFC-West Memphis,AR",,35.15439,-90.13741
"KFC-Wynne,AR",,35.24794,-90.78179
"KFC-Apache Junction,AZ",,33.41492,-111.57851
"KFC-Avondale,AZ",,33.44916,-112.34126
"KFC-Avondale,AZ",,33.49351,-112.28908
"KFC-Avondale,AZ",,33.49348,-112.33894
"KFC-Benson,AZ",,31.94298,-110.34133
"KFC-Buckeye,AZ",,33.43635,-112.55681
"KFC-Bullhead City,AZ",,35.10206,-114.59689
"KFC-Camp Verde,AZ",,34.57465,-111.88377
"KFC-Casa Grande,AZ",,32.87968,-111.74568
"KFC-Chandler,AZ",,33.3061,-111.89034
"KFC-Chandler,AZ",,33.3144,-111.84138
"KFC-Chino Valley,AZ",,34.76232,-112.45343
"KFC-Coolidge,AZ",,32.99574,-111.52386
"KFC-Cottonwood,AZ",,34.72243,-112.00439
"KFC-Douglas,AZ",,31.33988,-109.52427
"KFC-Flagstaff,AZ",,35.18319,-111.66124
"KFC-Flagstaff,AZ",,35.19966,-111.61919
"KFC-Fountain Hills,AZ",,33.57571,-111.71886
"KFC-Gilbert,AZ",,33.33405,-111.80682
"KFC-Gilbert,AZ",,33.30447,-111.78948
"KFC-Gilbert,AZ",,33.34868,-111.75545
"KFC-Glendale,AZ",,33.68198,-112.20354
"KFC-Glendale,AZ",,33.53857,-112.15254
"KFC-Glendale,AZ",,33.69844,-112.13998
"KFC-Globe,AZ",,33.3928,-110.76648
"KFC-Green Valley,AZ",,31.85203,-110.99763
"KFC-Holbrook,AZ",,34.91832,-110.1516
"KFC-Kingman,AZ",,35.22103,-114.03571
"KFC-Kingman,AZ",,35.19236,-114.02545
"KFC-Lake Havasu City,AZ",,34.47921,-114.34794
"KFC-Lakeside,AZ",,34.12574,-109.93092
"KFC-Maricopa,AZ",,33.07527,-112.04305
"KFC-Mesa,AZ",,33.37878,-111.87625
"KFC-Mesa,AZ",,33.42286,-111.8566
"KFC-Mesa,AZ",,33.41496,-111.80895
"KFC-Mesa,AZ",,33.37923,-111.78482
"KFC-Mesa,AZ",,33.41523,-111.77232
"KFC-Mesa,AZ",,33.43719,-111.71761
"KFC-Mesa,AZ",,33.41543,-111.68374
"KFC-Mesa,AZ",,33.37882,-111.63512
"KFC-Mesa,AZ",,33.37905,-111.68221
"KFC-Nogales,AZ",,31.36647,-110.93797
"KFC-Parker,AZ",,34.15395,-114.28037
"KFC-Payson,AZ",,34.23847,-111.3229
"KFC-Peoria,AZ",,33.65233,-112.25727
"KFC-Peoria,AZ",,33.56618,-112.25375
"KFC-Peoria,AZ",,33.61018,-112.22124
"KFC-Peoria,AZ",,33.58147,-112.20441
"KFC-Phoenix,AZ",,33.49472,-112.22388
"KFC-Phoenix,AZ",,33.42295,-112.22118
"KFC-Phoenix,AZ",,33.46526,-112.15166
"KFC-Phoenix,AZ",,33.61105,-112.13563
"KFC-Phoenix,AZ",,33.51081,-112.13403
"KFC-Phoenix,AZ",,33.65458,-112.09856
"KFC-Phoenix,AZ",,33.52395,-112.09682
"KFC-Phoenix,AZ",,33.48067,-112.08318
"KFC-Phoenix,AZ",,33.56687,-112.07413
"KFC-Phoenix,AZ",,33.63589,-112.03065
"KFC-Phoenix,AZ",,33.49498,-112.02934
"KFC-Phoenix,AZ",,33.48059,-112.00175
